Institute,Programme,GATE Registration Id,Candidate Category,GATE Score,Group Id,Allotted Seat Type
NIT Warangal,Smart Electric Grid,EE18S63044407,General,727,G1,OPEN
NIT Warangal,Smart Electric Grid,EE20S56021114,General,669,G1,OPEN
NIT Warangal,Smart Electric Grid,EE20S56008249,General,660,G1,OPEN
NIT Warangal,Smart Electric Grid,EE19S64003001,General,658,G1,OPEN
NIT Warangal,Smart Electric Grid,EE19S63047187,General,654,G1,OPEN
NIT Warangal,Smart Electric Grid,EE20S56003228,General,643,G1,OPEN
NIT Warangal,Smart Electric Grid,EE19S63031465,Other Backward Class (OBC-NCL),640,G1,OPEN
NIT Warangal,Smart Electric Grid,EE20S52026125,General,635,G1,OPEN
NIT Warangal,Smart Electric Grid,EE19S66054270,General,622,G1,OPEN
NIT Warangal,Smart Electric Grid,EE20S51410602,General-EWS,622,G1,OPEN
NIT Warangal,Smart Electric Grid,EE20S56042211,General,622,G1,OPEN
NIT Warangal,Smart Electric Grid,EE20S53040052,Other Backward Class (OBC-NCL),622,G1,OPEN
NIT Warangal,Smart Electric Grid,EE20S58032326,Other Backward Class (OBC-NCL),617,G1,OBC
NIT Warangal,Smart Electric Grid,EE19S64019070,Other Backward Class (OBC-NCL),605,G1,OBC
NIT Warangal,Smart Electric Grid,EE20S51404962,Other Backward Class (OBC-NCL),605,G1,OBC
NIT Warangal,Smart Electric Grid,EE19S63053071,Other Backward Class (OBC-NCL),598,G1,OBC
NIT Warangal,Smart Electric Grid,EE20S55023314,General-EWS,596,G1,EWS
NIT Warangal,Smart Electric Grid,EE20S56007297,General-EWS,596,G1,EWS
NIT Warangal,Smart Electric Grid,EE20S57335156,Other Backward Class (OBC-NCL),588,G1,OBC
NIT Warangal,Smart Electric Grid,EE20S51302180,Other Backward Class (OBC-NCL),588,G1,OBC
NIT Warangal,Smart Electric Grid,EE19S65011848,Other Backward Class (OBC-NCL),587,G1,OBC
NIT Warangal,Smart Electric Grid,EE20S56004077,Other Backward Class (OBC-NCL),583,G1,OBC
NIT Warangal,Smart Electric Grid,EE19S65015036,Schedule Caste (SC),499,G1,SC
NIT Warangal,Smart Electric Grid,EE19S61414142,Schedule Caste (SC),428,G1,SC
NIT Warangal,Smart Electric Grid,EE20S56008329,Schedule Caste (SC),426,G1,SC
NIT Warangal,Smart Electric Grid,EE20S56008491,Schedule Caste (SC),422,G1,SC
